Municipality,area,Price,sqft,Year,Elevator,Condition,Energial.,number_of_room,hassauna,floor,total_floor
Kamppi,23.0,243000,10565,1932,1,2,E2018,1,0,1,5
Punavuori,41.0,340250,8299,2001,1,2,E2007,1,0,6,8
Kallio,37.0,240000,6486,1939,1,1,F2013,1,0,6,6
Kamppi,24.0,236000,9833,1936,1,1,E2018,1,0,2,4
Pajamäki,25.0,137100,5484,1959,0,2,F2013,1,0,2,4
Meilahti,27.0,189000,7000,1945,0,1,E2013,1,0,1,3
"Kallio, harju",28.0,169000,6036,1936,1,2,F2007,1,0,3,6
Kallio,50.2,321000,6394,1928,1,2,F2013,1,0,2,6
Lassila,26.0,140000,5385,1984,0,2,F2013,1,0,2,3
Herttoniemi,27.5,165000,6000,1956,1,1,,1,0,2,7
Herttoniemi,28.0,134900,4818,1972,0,2,,1,0,2,3
Tapaninvainio,28.0,146500,5232,1971,0,1,,1,0,3,3
Kruununhaka,28.0,245000,8750,1931,0,1,F2007,1,0,5,5
Lauttasaari,25.0,198000,7920,1939,1,2,F2013,1,0,1,5
Vallila,26.0,157500,6058,1946,0,3,D2007,1,0,1,4
Alppiharju,28.2,170000,6028,1912,0,2,,1,0,3,5
Kalasatama,28.5,280000,9825,2018,1,1,C2013,1,0,5,6
Roihuvuori,29.0,130000,4483,1965,1,2,,1,0,3,5
Eteä-haaga,32.0,223000,6969,1966,0,1,,1,0,3,3
Jätkäsaari,33.0,285000,8636,2018,1,1,B2018,1,1,5,8
Katajanokka,38.0,405000,10658,1940,1,1,C2018,1,0,7,8
Lauttasaari,26.0,220000,8462,1954,1,1,F2013,1,0,1,5
Kallio,26.0,231000,8885,1928,1,1,,1,0,8,8
Meilahti,16.0,146000,9125,1946,1,3,E2013,1,0,6,7
Punavuori,31.0,275000,8871,1962,0,1,F2013,1,0,4,4
Myllypuro,36.6,142000,3880,1966,0,1,,1,1,1,4
Haaga,37.0,201000,5432,1955,0,1,E2007,1,0,1,4
Oulunkylä,30.2,150000,4967,1967,0,1,E2018,1,0,3,3
Vallila,40.0,276000,6900,1925,0,1,E2007,1,0,3,4
Mellunkylä,36.5,157750,4322,2018,1,1,C,1,0,2,4
Viikki,44.5,186000,4180,2009,1,1,D2007,1,1,4,5
Kallio,34.0,208000,6118,1936,1,2,,1,0,1,6
Alppila,45.0,283000,6289,1927,1,1,D2013,1,0,2,6
Lauttasaari,28.5,250000,8772,2019,1,1,C2013,1,1,2,8
Pukinmäki,30.0,125000,4167,1980,1,2,F,1,1,3,5
Länsi-pasila,33.5,225000,6716,1981,0,1,E2013,1,0,2,4
Vallila,42.0,280000,6667,1929,0,1,,1,0,3,3
Kallio,37.0,220000,5946,1939,1,2,F2013,1,0,2,6
Kallio,40.0,250000,6250,1928,1,1,F2013,1,0,1,6
Siltamäki,33.0,116000,3515,1972,0,2,G2013,1,0,1,3
Vuosaari,23.5,112500,4787,1965,1,2,,1,0,1,3
Lauttasaari,29.0,270000,9310,2019,1,1,C2013,1,1,4,8
Lauttasaari,28.5,250000,8772,2019,1,1,C2013,1,1,2,8
Taka-töölö,34.0,259000,7618,1937,1,2,G2013,1,0,3,6
Lauttasaari,28.5,285000,10000,2019,1,1,C2013,1,1,6,8
Kallio,42.5,250000,5882,1929,1,2,,1,0,3,7
Kallio,23.0,186100,8091,1961,1,1,C2018,1,0,1,8
Etelä-haaga,23.0,194000,8435,1969,1,1,F2007,1,0,1,4
Lauttasaari,28.5,270000,9474,2019,1,1,C2013,1,1,5,8
"Taka-töölö, töölö",30.0,226850,7562,1938,1,1,D2013,1,0,3,8
Malmi,35.0,143000,4086,1984,0,2,F,1,1,2,3
Pajamäki,25.0,148000,5920,1959,0,1,F2013,1,0,3,4
Punavuori,26.0,255000,9808,1960,1,1,F2014,1,0,3,7
Lauttasaari,27.0,189000,7000,1969,1,2,G2013,1,0,1,4
Lauttasaari,27.2,220100,8092,1962,1,2,E2007,1,1,3,4
Herttoniemi,27.5,155000,5636,1956,1,2,G2013,1,0,4,8
Etelä-haaga,32.0,200000,6250,1966,0,1,E2007,1,0,3,4
Lassila,34.5,166000,4812,1983,0,2,F2013,1,0,3,3
Laajasalo,39.0,171500,4397,2002,1,1,E2007,1,0,2,3
Mellunkylä,30.0,101000,3367,1974,0,2,D2013,1,0,2,3
Kamppi,54.0,383000,7093,1906,1,2,G2013,1,0,4,4
Kruununhaka,28.0,255000,9107,1892,1,1,E2018,1,0,3,5
Mellunmäki,30.0,105000,3500,1974,0,2,D2007,1,0,2,3
Hakaniemi,30.0,260000,8667,1937,1,1,,1,0,5,7
Punavuori,42.0,360000,8571,1914,0,1,,1,0,2,5
Kruununhaka,14.0,210000,15000,1931,0,1,F2013,1,0,2,5
Käpylä,22.0,170000,7727,1952,0,1,G2013,1,0,1,4
Meilahti,28.0,245000,8750,1945,0,1,F2015,1,0,3,3
Etelä-haaga,31.5,160000,5079,1964,0,1,,1,0,1,2
Siltamäki,33.0,117000,3545,1972,0,2,G2013,1,0,1,3
Kallio,28.5,216000,7579,1957,1,2,,1,0,7,7
Kallio,29.5,218000,7390,1961,1,2,E2007,1,0,1,6
Katajanokka,31.5,345960,10983,1940,1,1,C2018,1,0,2,8
Munkkivuori,31.7,182000,5741,1957,0,1,G2013,1,0,1,4
Pihlajisto,32.5,122500,3769,1970,1,1,,1,0,4,7
Käpylä,43.0,180000,4186,1928,0,2,E2007,1,0,3,4
Kallio,25.0,202000,8080,1928,1,1,,1,0,2,6
Kallio,27.0,194000,7185,1928,1,2,,1,0,3,6
Kruununhaka,31.5,297000,9429,1886,1,1,F2015,1,0,4,5
Taka-töölö,25.5,240000,9412,1924,1,2,G2013,1,0,2,6
Kamppi,35.0,371000,10600,1910,0,1,F2007,1,0,5,5
Kallio,19.0,180000,9474,1929,1,2,F2013,1,0,3,6
